,Lithology_type,Event_name,260,245,210,160,145,125,100,80,55,45,0
0,Shales,Layer 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.270125223613597
1,Sandstones,Layer 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.305905130687318,36.35240983155164
2,Shales,Layer 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.03935599284438,70.38640602514171,78.61537942010264
3,Chalk,Layer 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.05744680851063,131.43084535454648,129.8119379400353,136.70048580308134
4,Sandstones,Layer 6,0.0,0.0,0.0,0.0,0.0,0.0,44.49661181026137,117.55309056456097,150.0726652964632,148.25046649763456,154.99671039165833
5,Limestones,Layer 5,0.0,0.0,0.0,0.0,0.0,28.513513513513516,51.08039559404516,123.37065813212854,155.77671935051728,153.9545205516886,160.672386067334
6,Dolomite,Layer 4,0.0,0.0,0.0,0.0,26.84908256880734,35.1458529630548,57.192551557347905,129.2082728110276,161.57098540556314,159.74878660673446,166.45220258109546
7,Sandstones,Layer 3,0.0,0.0,0.0,27.969022265246853,34.086255850511115,42.037430891418786,63.1489891178513,134.49384880328319,166.71425742879646,164.85140035310425,171.5344871890335
8,Anhydrite,Layer 2,0.0,0.0,28.075311720698252,36.01291253956107,42.098724678441286,50.03942590388762,71.08814123755204,142.37015803021586,174.58009284026775,172.70676194911425,179.3898487850435
9,Quartzite,Layer 1,0.0,24.725,32.58964293088934,40.44698897268209,46.45254633449224,54.34308832426978,75.26138964519537,146.42302427225408,178.6028635409047,176.72953264975118,183.40258763854666
